threads;tempo_ms;speedup;eficiencia_pct;cpu_processo_pct;ram_sistema_pct
1;116677;1.0000;100.0000;8,5;79,4
2;60921;1.9152;95.7609;8,5;79,4
3;43104;2.7069;90.2291;13,9;79,7
4;33876;3.4442;86.1059;15,4;79,5
5;28426;4.1046;82.0917;13,4;79,8
6;24360;4.7897;79.8283;27,1;79,5
7;22551;5.1739;73.9131;17,4;79,5
8;21116;5.5255;69.0691;30,1;79,9
9;20916;5.5784;61.9818;40,3;80,1
10;19802;5.8922;58.9218;47,9;81,3
11;18227;6.4013;58.1939;33,7;81,8
12;16796;6.9467;57.8893;23,0;80,7
13;16070;7.2605;55.8504;55,0;80,9
14;15418;7.5676;54.0542;59,1;81,5
15;14625;7.9779;53.1861;67,9;81,5
16;13947;8.3657;52.2859;43,7;80,8
